Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,97.290001,98.400002,95.360001,95.599998,95.599998,21647400
2022-11-22,95.949997,97.220001,94.050003,97.050003,97.050003,23438500
2022-11-23,97.089996,98.760002,97.089996,98.459999,98.459999,18868100
2022-11-25,98.239998,98.639999,97.400002,97.459999,97.459999,9701400
2022-11-28,97.040001,97.580002,95.610001,96.050003,96.050003,26237500
2022-11-29,95.730003,96.120003,94.110001,95.190002,95.190002,20061700
2022-11-30,94.82,101.040001,94.419998,100.989998,100.989998,43592300
2022-12-01,101.019997,102.25,100.25,100.989998,100.989998,28687100
2022-12-02,99.050003,100.769997,98.900002,100.440002,100.440002,21469400
2022-12-05,99.400002,101.379997,99,99.480003,99.480003,24405100
2022-12-06,99.300003,99.779999,96.419998,96.980003,96.980003,24910700
2022-12-07,96.410004,96.879997,94.720001,94.940002,94.940002,31045400
2022-12-08,95.379997,95.580002,93.449997,93.709999,93.709999,32213300
2022-12-09,93.769997,94.260002,92.75,92.830002,92.830002,28210600
2022-12-12,92.709999,93.559998,91.610001,93.309998,93.309998,29420000
2022-12-13,97.760002,99.529999,95.029999,95.629997,95.629997,40593700
2022-12-14,95.199997,96.870003,93.599998,95.07,95.07,28733600
2022-12-15,93.129997,93.639999,90.010002,90.860001,90.860001,40107000
2022-12-16,90.760002,91.330002,89.519997,90.260002,90.260002,58000200
2022-12-19,90.260002,90.559998,88.209999,88.440002,88.440002,29493000
2022-12-20,88.110001,89.18,87.440002,89.019997,89.019997,23453800
2022-12-21,89.080002,90.220001,88.32,89.580002,89.580002,24745600
2022-12-22,88.160004,88.540001,86.32,87.760002,87.760002,27658300
2022-12-23,87.110001,89.550003,87.07,89.230003,89.230003,22994400
2022-12-27,88.800003,88.940002,87.010002,87.389999,87.389999,20097300
2022-12-28,86.980003,88.040001,85.940002,86.019997,86.019997,19500600
2022-12-29,115.478526,117.0702483,113.7967502,115.3407957,115.3407957,34646103.97
2022-12-30,115.3548515,116.9498246,113.6703583,115.216533,115.216533,34713001.21
2022-12-31,115.2304898,116.8293874,113.5420879,115.0935807,115.0935807,34788497.24
2023-01-01,115.1081901,116.7108592,113.4178422,114.9754917,114.9754917,34854578.58
2023-01-02,114.9893536,116.5952237,113.2976233,114.8563806,114.8563806,34879215.8
2023-01-03,114.8686923,116.4766135,113.1769135,114.7391459,114.7391459,34904926.97
2023-01-04,114.7514252,116.3654116,113.0796472,114.6477339,114.6477339,34826700.49
2023-01-05,114.6631432,116.2718616,112.9864772,114.5560681,114.5560681,34816695.33
2023-01-06,114.5699592,116.1838591,112.8960803,114.4669374,114.4669374,34836761.59
2023-01-07,114.4885781,116.0940351,112.81565,114.3708956,114.3708956,34798780.48
2023-01-08,114.395251,115.998313,112.7209006,114.2702404,114.2702404,34822862.94
2023-01-09,114.2890814,115.892719,112.6098942,114.1624616,114.1624616,34857445.73
2023-01-10,114.1809429,115.7857456,112.5075168,114.0655388,114.0655388,34871022.9
2023-01-11,114.0900776,115.6867129,112.4103304,113.9646858,113.9646858,34891693.62
2023-01-12,114.002439,115.6016145,112.3189487,113.877252,113.877252,34891771.77
2023-01-13,113.9130697,115.5128927,112.228883,113.7929693,113.7929693,34916548.65
2023-01-14,113.8244311,115.4251423,112.1465989,113.7155307,113.7155307,34936423.84
2023-01-15,113.7499506,115.347998,112.0754088,113.6495149,113.6495149,34854219.17
2023-01-16,113.7014266,115.2850813,112.0261048,113.5814416,113.5814416,34688474.01
2023-01-17,113.6417497,115.2290737,111.9686667,113.5284513,113.5284513,34639777.48
2023-01-18,113.5723956,115.1585542,111.9084551,113.4661316,113.4661316,34582276.59
2023-01-19,113.502032,115.0891337,111.8408994,113.4044694,113.4044694,34592722.14
2023-01-20,113.4379171,115.0166442,111.7748514,113.3253165,113.3253165,34593637.7
2023-01-21,113.3556787,114.9354681,111.6937615,113.2381015,113.2381015,34572239.44
2023-01-22,113.2594929,114.8447636,111.6037824,113.1412527,113.1412527,34437034.04
2023-01-23,113.1087369,114.6991219,111.4691842,113.0029244,113.0029244,34084800.05
2023-01-24,112.9793846,114.5603287,111.3453894,112.8835312,112.8835312,33936255.6
2023-01-25,112.8584913,114.4400324,111.2296369,112.7628587,112.7628587,33840772.49
2023-01-26,112.7339218,114.3217388,111.1198339,112.6579455,112.6579455,33756910.48
2023-01-27,112.6295862,114.219841,111.0170793,112.5518302,112.5518302,33675453.77
2023-01-28,112.51715,114.1075209,110.9013256,112.4365914,112.4365914,33649784.94
2023-01-29,112.4092677,113.9988821,110.7939618,112.332689,112.332689,33627244.4
2023-01-30,112.3053362,113.8990503,110.7042554,112.2455866,112.2455866,33602122.35
2023-01-31,112.2221966,113.8101576,110.6147623,112.153204,112.153204,33599345.06
2023-02-01,112.1216081,113.7137356,110.5147356,112.0561592,112.0561592,33626802.78
2023-02-02,112.0242871,113.6170203,110.4178734,111.9542471,111.9542471,33660948.82
2023-02-03,111.9281811,113.5237803,110.3303313,111.8725615,111.8725615,33639960.53
2023-02-04,111.8427097,113.4422477,110.2514973,111.799028,111.799028,33592420.69
2023-02-05,111.7712998,113.3678895,110.1801798,111.727542,111.727542,33547192.2
2023-02-06,111.692422,113.2937502,110.1113412,111.6646037,111.6646037,33550212.8
2023-02-07,111.6397987,113.2155508,110.0524438,111.5811656,111.5811656,33467253.33
2023-02-08,111.5528455,113.1280272,109.9663365,111.4903786,111.4903786,33455591.63
2023-02-09,111.4675393,113.0382515,109.8765501,111.3968602,111.3968602,33434129.7
2023-02-10,111.3746387,112.9461196,109.7839233,111.3069212,111.3069212,33461661.96
2023-02-11,111.2823634,112.8575626,109.6915123,111.2146014,111.2146014,33501113
2023-02-12,111.1842379,112.7639835,109.5989171,111.124582,111.124582,33536419
2023-02-13,111.0979551,112.6803028,109.5166211,111.0421141,111.0421141,33548746.06
2023-02-14,111.0170422,112.604689,109.4500403,110.9812554,110.9812554,33502860.13
2023-02-15,110.956594,112.5306996,109.3856575,110.9172743,110.9172743,33475379.42
2023-02-16,110.8760646,112.4465536,109.3042494,110.8279777,110.8279777,33461289.65
2023-02-17,110.7951521,112.3639129,109.2185024,110.7422574,110.7422574,33486524.93
2023-02-18,110.7050992,112.2788669,109.1374984,110.6663517,110.6663517,33494304.79
2023-02-19,110.62754,112.206922,109.0734607,110.6056983,110.6056983,33473202.83
2023-02-20,110.5626652,112.1368919,109.007401,110.5319194,110.5319194,33483334.58
2023-02-21,110.4826242,112.0527803,108.9291189,110.4416472,110.4416472,33475030.36
2023-02-22,110.3926782,111.9653687,108.8368337,110.3488005,110.3488005,33495709.05
2023-02-23,110.3012821,111.869025,108.7438905,110.246512,110.246512,33451779.32
2023-02-24,110.1986543,111.7691004,108.6433008,110.1439129,110.1439129,33478048.29
2023-02-25,110.0958652,111.6529064,108.5343397,110.0259602,110.0259602,33470040.54
2023-02-26,109.9823468,111.5420508,108.4180672,109.9138588,109.9138588,33503040.7
2023-02-27,109.8664038,111.4226979,108.3016687,109.7882313,109.7882313,33531243.25
2023-02-28,109.7392228,111.3012205,108.1769233,109.6617044,109.6617044,33568565.64
2023-03-01,109.615567,111.17939,108.0513893,109.5355385,109.5355385,33562686.93
2023-03-02,109.4844878,111.0499689,107.9165198,109.4047054,109.4047054,33559689.66
2023-03-03,109.3536326,110.9242922,107.7828552,109.275603,109.275603,33613958.27
2023-03-04,109.2238732,110.8005473,107.6588804,109.1573811,109.1573811,33598442.23
2023-03-05,109.1037299,110.6828074,107.5372589,109.0343926,109.0343926,33628824.94
2023-03-06,108.979703,110.5517392,107.4072063,108.8997215,108.8997215,33659328.21
2023-03-07,108.8452216,110.4230139,107.276352,108.7739625,108.7739625,33707904.91
2023-03-08,108.7265519,110.3081826,107.1642859,108.663748,108.663748,33712825.17
2023-03-09,108.6182843,110.2016099,107.0568922,108.5557133,108.5557133,33742503.04
2023-03-10,108.5112794,110.1005449,106.9540803,108.4575712,108.4575712,33776632.02
2023-03-11,108.4187706,110.0132752,106.867912,108.3767541,108.3767541,33764301.2
2023-03-12,108.3267816,109.9276136,106.78886,108.300017,108.300017,33768484.93
2023-03-13,108.2487133,109.8466359,106.7057166,108.2143266,108.2143266,33791661.46
2023-03-14,108.1604958,109.7647594,106.6267671,108.1408517,108.1408517,33800366.47
2023-03-15,108.0857359,109.6915541,106.549167,108.0633293,108.0633293,33851923.48
2023-03-16,108.0079353,109.6096436,106.4680149,107.9762433,107.9762433,33881137.46
2023-03-17,107.9171255,109.5231779,106.3845546,107.8966252,107.8966252,33889808.64
2023-03-18,107.8324712,109.4415299,106.3125628,107.8294908,107.8294908,33879665.02
2023-03-19,107.7643461,109.3781947,106.2625134,107.7826415,107.7826415,33788377.98
2023-03-20,107.7193594,109.3230387,106.2139083,107.7219616,107.7219616,33739411.23
2023-03-21,107.6615215,109.2707095,106.1651103,107.6785963,107.6785963,33583400.95
2023-03-22,107.6345057,109.2390774,106.1390333,107.6523427,107.6523427,33352303.34
2023-03-23,107.5996625,109.1977662,106.1073827,107.6092072,107.6092072,33290669.62
2023-03-24,107.5634132,109.1631542,106.0767989,107.5834124,107.5834124,33253426.25
2023-03-25,107.5402323,109.1330655,106.0509132,107.5476997,107.5476997,33244376.35
2023-03-26,107.5049534,109.0961253,106.0112958,107.5088652,107.5088652,33277219.11
2023-03-27,107.4671497,109.0415285,105.975166,107.450325,107.450325,33211192.2
2023-03-28,107.4166066,108.9939195,105.9393313,107.4143918,107.4143918,33161077.89
2023-03-29,107.3857816,108.9598815,105.907283,107.3813278,107.3813278,33135090.1
2023-03-30,107.3625109,108.9356072,105.8831036,107.360972,107.360972,33104665.86
2023-03-31,107.3301895,108.9065818,105.8552568,107.3330592,107.3330592,33077700.24
2023-04-01,107.3067518,108.8769869,105.8259661,107.3081805,107.3081805,33060016.52
2023-04-02,107.290598,108.8554869,105.8100989,107.2862129,107.2862129,32977572.14
2023-04-03,107.2618583,108.8196952,105.7791668,107.251434,107.251434,32969395.84
2023-04-04,107.231328,108.7905273,105.7469829,107.2228881,107.2228881,32997091.85
2023-04-05,107.1931964,108.7583468,105.7107804,107.1861813,107.1861813,33036548.56
2023-04-06,107.162217,108.7319911,105.6875871,107.1674777,107.1674777,33028257.09
2023-04-07,107.1452754,108.7150148,105.6704744,107.1547137,107.1547137,33023829.54
2023-04-08,107.1262051,108.701251,105.6699743,107.1477562,107.1477562,32960582.83
2023-04-09,107.116438,108.6875754,105.6577877,107.130533,107.130533,32943823.24
2023-04-10,107.1217731,108.6964209,105.672761,107.1351383,107.1351383,32769870.16
2023-04-11,107.1302504,108.7051369,105.6799684,107.1404166,107.1404166,32740155.36
2023-04-12,107.1360172,108.7053577,105.6817739,107.137829,107.137829,32719489.31
2023-04-13,107.1267038,108.6910218,105.6680567,107.1172787,107.1172787,32698876.17
2023-04-14,107.104403,108.6630695,105.6426184,107.0909108,107.0909108,32630173.3
